Employee_ID,Employee_Name,Manager,Department,Base_Salary,Bonus,Penalty,Month
E153,Employee_153,Manager_D,Sales,23734380,3709510,1324110,2026-03
E154,Employee_154,Manager_C,Finance,27844754,471205,738076,2026-03
E155,Employee_155,Manager_A,Finance,23493506,3790928,78868,2026-03
E156,Employee_156,Manager_A,Finance,17632706,643666,1351963,2026-03
E157,Employee_157,Manager_A,Operations,23526026,4868155,1162485,2026-03
E158,Employee_158,Manager_A,Operations,27181615,1579067,674290,2026-03
E159,Employee_159,Manager_D,HR,10076136,3779261,217059,2026-03
E160,Employee_160,Manager_C,Sales,24929855,1447529,82086,2026-03
E161,Employee_161,Manager_B,Operations,22744548,4396205,1096282,2026-03
E162,Employee_162,Manager_B,Finance,20510836,2373083,812471,2026-03
E163,Employee_163,Manager_D,Finance,28061720,439273,1655128,2026-03
E164,Employee_164,Manager_C,Sales,19062586,792773,1170133,2026-03
E165,Employee_165,Manager_D,Finance,16455575,1261422,699110,2026-03
E166,Employee_166,Manager_A,HR,19738037,2602412,1375846,2026-03
E167,Employee_167,Manager_D,HR,27966270,710674,649240,2026-03
E168,Employee_168,Manager_D,Finance,12288047,4415707,195985,2026-03
E169,Employee_169,Manager_D,Finance,8611715,3041689,647739,2026-03
E170,Employee_170,Manager_B,HR,19466634,4079136,402664,2026-03
E171,Employee_171,Manager_B,HR,13199097,647307,620320,2026-03
E172,Employee_172,Manager_A,Sales,19299937,1099319,1252516,2026-03
E173,Employee_173,Manager_D,HR,13444113,1517045,1743456,2026-03
E174,Employee_174,Manager_B,Operations,9466074,3446531,763991,2026-03
E175,Employee_175,Manager_B,Operations,28488182,2390148,1577878,2026-03
E176,Employee_176,Manager_D,HR,25918440,2006290,649001,2026-03
E177,Employee_177,Manager_D,HR,20342694,4785024,923999,2026-03
E178,Employee_178,Manager_D,Finance,20813512,4218687,1106163,2026-03
E179,Employee_179,Manager_D,HR,14700743,1160971,1830817,2026-03
E180,Employee_180,Manager_C,Sales,29514398,4031486,1833156,2026-03
E181,Employee_181,Manager_C,Sales,25311046,1045872,597820,2026-03
E182,Employee_182,Manager_A,HR,17153357,3769162,1898564,2026-03
E183,Employee_183,Manager_B,Operations,11077396,1862589,1712750,2026-03
E184,Employee_184,Manager_D,Finance,8894903,3480407,111687,2026-03
E185,Employee_185,Manager_D,Finance,15911399,3239396,171139,2026-03
E186,Employee_186,Manager_C,HR,8945817,2673322,1952083,2026-03
E187,Employee_187,Manager_A,Finance,12900601,1154269,80327,2026-03
E188,Employee_188,Manager_C,Operations,12657109,3935180,940785,2026-03
E189,Employee_189,Manager_A,Sales,8637664,2146845,452260,2026-03
E190,Employee_190,Manager_B,Operations,11730811,2416771,498367,2026-03
E191,Employee_191,Manager_C,Sales,9602205,2000175,880437,2026-03
E192,Employee_192,Manager_D,Sales,11719773,4192871,1251452,2026-03
E193,Employee_193,Manager_A,HR,12817639,2443366,900179,2026-03
E194,Employee_194,Manager_A,Finance,16071996,4787074,873605,2026-03
E195,Employee_195,Manager_B,Sales,25565226,3024963,141933,2026-03
E196,Employee_196,Manager_A,Operations,23775115,365193,1333098,2026-03
E197,Employee_197,Manager_D,Finance,16511090,136249,748880,2026-03
E198,Employee_198,Manager_A,Finance,16090843,869595,1617955,2026-03
E199,Employee_199,Manager_C,HR,9487658,2955298,1145073,2026-03
E200,Employee_200,Manager_C,HR,23590157,4014210,1324846,2026-03
